code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,1051332,764957,286375
02,青森県,332163,223178,108985
03,岩手県,289755,206999,82756
04,宮城県,496172,386620,109552
05,秋田県,261219,185619,75600
06,山形県,393586,272970,120616
07,福島県,549803,380807,168996
08,茨城県,607103,445256,161847
09,栃木県,365924,271681,94243
10,群馬県,509626,380597,129029
11,埼玉県,1520350,1131866,388484
12,千葉県,1366988,999476,367512
13,東京都,2706842,1957027,749815
14,神奈川県,1860914,1408373,452541
15,新潟県,645475,460532,184943
16,富山県,295705,207109,88596
17,石川県,350382,236599,113783
18,福井県,228843,154856,73987
19,山梨県,206650,151506,55144
20,長野県,560696,394444,166252
21,岐阜県,631043,447158,183885
22,静岡県,750465,544024,206441
23,愛知県,1802963,1308325,494638
24,三重県,487031,344092,142939
25,滋賀県,306856,221066,85790
26,京都府,654096,448515,205581
27,大阪府,1704612,1290558,414054
28,兵庫県,1243001,932447,310554
29,奈良県,334983,251377,83606
30,和歌山県,338810,215693,123117
31,鳥取県,180682,118176,62506
32,島根県,199966,139695,60271
33,岡山県,564181,377197,186984
34,広島県,623453,470759,152694
35,山口県,498226,325968,172258
36,徳島県,221222,149393,71829
37,香川県,223702,156933,66769
38,愛媛県,330715,247629,83086
39,高知県,252462,166113,86349
40,福岡県,1254188,873436,380752
41,佐賀県,288838,195431,93407
42,長崎県,372014,266531,105483
43,熊本県,506566,355193,151373
44,大分県,316790,218124,98666
45,宮崎県,344844,228502,116342
46,鹿児島県,422872,304089,118783
