code,prefecture,total_vaccinations,1st_vaccinations,2nd_vaccinations
01,北海道,1345078,934722,410356
02,青森県,412964,265196,147768
03,岩手県,372618,250314,122304
04,宮城県,679217,457359,221858
05,秋田県,346071,252413,93658
06,山形県,481673,314683,166990
07,福島県,677914,440032,237882
08,茨城県,806254,541672,264582
09,栃木県,495669,345881,149788
10,群馬県,655238,456950,198288
11,埼玉県,1913062,1321302,591760
12,千葉県,1741557,1181816,559741
13,東京都,3503604,2358952,1144652
14,神奈川県,2404551,1715972,688579
15,新潟県,814236,542315,271921
16,富山県,375978,244194,131784
17,石川県,432147,271352,160795
18,福井県,294896,189066,105830
19,山梨県,276918,186569,90349
20,長野県,715389,473022,242367
21,岐阜県,786633,506536,280097
22,静岡県,1008175,689296,318879
23,愛知県,2256832,1471592,785240
24,三重県,614636,403625,211011
25,滋賀県,389965,268001,121964
26,京都府,805562,516463,289099
27,大阪府,2228920,1554940,673980
28,兵庫県,1709448,1204365,505083
29,奈良県,450387,313913,136474
30,和歌山県,409595,253367,156228
31,鳥取県,218682,134303,84379
32,島根県,249773,159221,90552
33,岡山県,687480,431686,255794
34,広島県,833046,578027,255019
35,山口県,604446,378907,225539
36,徳島県,285174,178984,106190
37,香川県,284086,187124,96962
38,愛媛県,445544,310077,135467
39,高知県,304553,190982,113571
40,福岡県,1624245,1066578,557667
41,佐賀県,352276,218983,133293
42,長崎県,479357,315143,164214
43,熊本県,650404,421385,229019
44,大分県,425866,276919,148947
45,宮崎県,423793,263881,159912
46,鹿児島県,537724,363833,173891
